id,Team,Event,Outcome,X,Y,PlayerId,X2,Y2,Passer,Recipient
80,Kups,Pass,Successful,41,49,19,27,46,19,3
81,Kups,Pass,Successful,26,48,3,26,20,3,33
82,Kups,Pass,Successful,25,17,33,40,3,33,23
83,Kups,Pass,Successful,39,8,23,24,11,23,33
84,Kups,Pass,Successful,22,10,33,6,38,33,1
85,Kups,Pass,Successful,13,57,1,64,46,1,7
86,Kups,Pass,Successful,54,38,22,67,10,22,23
87,Kups,Pass,Successful,71,10,23,64,21,23,25
88,Kups,Pass,Successful,66,22,25,78,13,25,7
89,Kups,Pass,Successful,88,29,7,79,44,7,33
90,Kups,Pass,Successful,22,51,22,32,31,22,23
91,Kups,Pass,Successful,41,37,23,47,22,23,25
92,Kups,Pass,Successful,45,16,25,56,3,25,7
93,Kups,Pass,Successful,55,5,7,39,5,7,33
94,Kups,Pass,Successful,34,64,22,45,58,22,14
95,Kups,Pass,Successful,42,67,14,57,65,14,20
96,Kups,Pass,Successful,70,89,29,33,77,29,22
97,Kups,Pass,Successful,48,3,19,20,27,19,1
98,Kups,Pass,Successful,73,50,29,80,21,29,23
99,Kups,Pass,Successful,59,6,14,40,16,14,22
100,Kups,Pass,Successful,40,16,22,32,51,22,33
101,Kups,Pass,Successful,29,54,33,33,29,33,22
102,Kups,Pass,Successful,34,31,22,53,3,22,23
103,Kups,Pass,Successful,59,6,23,74,30,23,7
104,Kups,Pass,Successful,74,26,7,84,15,7,23
105,Kups,Pass,Successful,85,12,23,87,19,23,7
106,Kups,Pass,Successful,94,1,7,84,3,7,23
107,Kups,Pass,Successful,82,5,23,74,4,23,14
108,Kups,Pass,Successful,73,3,14,64,11,14,33
109,Kups,Pass,Successful,63,14,33,70,5,33,14
110,Kups,Pass,Successful,70,4,14,77,3,14,23
111,Kups,Pass,Successful,77,5,23,71,8,23,14
112,Kups,Pass,Successful,71,7,14,69,23,14,19
113,Kups,Pass,Successful,68,25,19,57,12,19,33
114,Kups,Pass,Successful,58,14,33,65,5,33,14
115,Kups,Pass,Successful,65,6,14,54,17,14,33
116,Kups,Pass,Successful,52,27,33,68,4,33,23
117,Kups,Pass,Successful,69,6,23,80,11,23,7
118,Kups,Pass,Successful,24,92,22,35,91,22,29
119,Kups,Pass,Successful,32,92,29,23,81,29,22
120,Kups,Pass,Successful,21,89,22,5,57,22,1
121,Kups,Pass,Successful,47,19,33,53,37,33,19
122,Kups,Pass,Successful,53,36,19,71,2,19,23
123,Kups,Pass,Successful,68,4,23,48,11,23,33
124,Kups,Pass,Successful,40,14,33,36,46,33,3
125,Kups,Pass,Successful,36,47,3,71,4,3,23
126,Kups,Pass,Successful,73,6,23,69,16,23,25
127,Kups,Pass,Successful,68,17,25,60,23,25,19
128,Kups,Pass,Successful,61,21,19,63,6,19,33
129,Kups,Pass,Successful,65,5,33,61,19,33,19
130,Kups,Pass,Successful,62,24,19,84,45,19,20
131,Kups,Pass,Successful,83,41,20,82,50,20,7
132,Kups,Pass,Successful,31,4,33,16,30,33,1
133,Kups,Pass,Successful,15,50,1,24,71,1,22
134,Kups,Pass,Successful,25,77,22,42,72,22,20
135,Kups,Pass,Successful,40,70,20,27,71,20,22
136,Kups,Pass,Successful,29,69,22,39,77,22,14
137,Kups,Pass,Successful,42,76,14,70,94,14,29
138,Kups,Pass,Successful,37,84,19,40,90,19,22
139,Kups,Pass,Successful,41,92,22,38,86,22,19
140,Kups,Pass,Successful,44,84,19,58,91,19,22
141,Kups,Pass,Successful,59,90,22,62,77,22,19
142,Kups,Pass,Successful,12,91,1,76,44,1,25
143,Kups,Pass,Successful,68,35,14,81,17,14,25
144,Kups,Pass,Successful,58,16,23,44,27,23,19
145,Kups,Pass,Successful,44,41,19,63,65,19,20
146,Kups,Pass,Successful,63,70,20,76,94,20,29
147,Kups,Pass,Successful,76,92,29,66,73,29,22
148,Kups,Pass,Successful,66,74,22,79,61,22,7
149,Kups,Pass,Successful,80,63,7,90,85,7,20
150,Kups,Pass,Successful,68,68,19,74,54,19,7
151,Kups,Pass,Successful,71,56,7,74,83,7,22
152,Kups,Pass,Successful,76,82,22,87,60,22,29
153,Kups,Pass,Successful,5,49,1,6,42,1,33
154,Kups,Pass,Successful,5,42,33,26,52,33,29
155,Kups,Pass,Successful,28,51,19,30,90,19,22
156,Kups,Pass,Successful,34,93,22,68,64,22,25
157,Kups,Pass,Successful,70,63,25,70,94,25,29
158,Kups,Pass,Successful,67,95,29,38,84,29,22
159,Kups,Pass,Successful,39,86,22,71,60,22,7
160,Kups,Pass,Successful,86,54,20,87,68,20,29
161,Kups,Pass,Successful,67,91,29,65,78,29,19
162,Kups,Pass,Successful,68,75,19,78,95,19,20
